,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
103862,17228366,원주스포츠쎈타,,P,스포츠,P02,실내운동시설,P02A14,스포츠센터,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213032000,호저면,4213032025.0,호저면,4213032025204720000,1,대지,472,,강원도 원주시 호저면 만종리 472,421303219041,강원도 원주시 호저면 원문로,525,55.0,4213032025104720000000001,,강원도 원주시 호저면 원문로 525-55,220924,26375.0,,,,127.90627017063,37.3556663877739
103863,17228382,케이엘스포츠,,P,스포츠,P02,실내운동시설,P02A14,스포츠센터,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213059000,단계동,4213011000.0,단계동,4213011000200570002,1,대지,57,2.0,강원도 원주시 단계동 57-2,421304457196,강원도 원주시 모란2길,31,,4213011000100570002000001,,강원도 원주시 모란2길 31,220935,26407.0,,,,127.938212399643,37.3601568917167
103864,17228331,거진댄스스포츠동호회,,P,스포츠,P02,실내운동시설,P02A14,스포츠센터,R91131,종합 스포츠시설 운영업,42,강원도,42820,고성군,4282025300,거진읍,4282025321.0,거진읍,4282025321200220001,1,대지,22,1.0,강원도 고성군 거진읍 거진리 22-1,428204502032,강원도 고성군 거진읍 거진항길,6,1.0,4282025321100220001019095,유람선장어,강원도 고성군 거진읍 거진항길 6-1,219901,24713.0,,1,,128.455268952235,38.4455393319606
103966,17228214,에스복싱GYM,태장점,P,스포츠,P02,실내운동시설,P02A04,복싱도장,P85611,스포츠 교육기관,42,강원도,42130,원주시,4213062000,태장2동,4213011200.0,태장동,4213011200213730006,1,대지,1373,6.0,강원도 원주시 태장동 1373-6,421304457690,강원도 원주시 흥양로51번길,15,,4213011200113750015014846,,강원도 원주시 흥양로51번길 15,220962,26316.0,2,,,127.953075700411,37.3851694769779
103981,17205056,백년S.P,,P,스포츠,P02,실내운동시설,P02A14,스포츠센터,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213051500,중앙동,4213010100.0,중앙동,4213010100200600020,1,대지,60,20.0,강원도 원주시 중앙동 60-20,421303219043,강원도 원주시 원일로,106,3.0,4213010100100600044009265,,강원도 원주시 원일로 106-3,220903,26428.0,,1,,127.949090787068,37.3496461079162
104060,17228215,아트복싱체육관,온의점,P,스포츠,P02,실내운동시설,P02A04,복싱도장,P85611,스포츠 교육기관,42,강원도,42110,춘천시,4211067500,강남동,4211012100.0,온의동,4211012100200650056,1,대지,65,56.0,강원도 춘천시 온의동 65-56,421104454444,강원도 춘천시 스포츠타운길,529,3.0,4211012100100650056018642,,강원도 춘천시 스포츠타운길 529-3,200937,24429.0,,3,,127.714286139029,37.8689586314061
104184,17231588,엠제이,코퍼레이션,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,R91139,그외 기타 스포츠시설 운영업,42,강원도,42230,삼척시,4223054000,정라동,4223012500.0,정상동,4223012500204610002,1,대지,461,2.0,강원도 삼척시 정상동 461-2,422304472302,강원도 삼척시 정상안길,60,4.0,4223012500104610002000001,,강원도 삼척시 정상안길 60-4,245130,25926.0,,,,129.17758245168,37.4444259627361
104264,17243708,감사기업,,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,R91139,그외 기타 스포츠시설 운영업,42,강원도,42110,춘천시,4211031000,동면,4211031023.0,동면,4211031023207900000,1,대지,790,,강원도 춘천시 동면 장학리 790,421104454602,강원도 춘천시 동면 장학길,48,,4211031023107900000049148,한림성심대학교,강원도 춘천시 동면 장학길 48,200711,24210.0,,1,,127.756700667749,37.8977786766042
104265,17242817,청호기업,,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,R91139,그외 기타 스포츠시설 운영업,42,강원도,42110,춘천시,4211031000,동면,4211031023.0,동면,4211031023200030002,1,대지,3,2.0,강원도 춘천시 동면 장학리 3-2,421103013015,강원도 춘천시 동면 가락재로,14,,4211031023100030002002451,,강원도 춘천시 동면 가락재로 14,200853,24212.0,,,,127.775693330775,37.9002671882953
104266,17243706,태성기업,,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,R91139,그외 기타 스포츠시설 운영업,42,강원도,42150,강릉시,4215061500,강남동,4215012100.0,노암동,4215012100206840022,1,대지,684,22.0,강원도 강릉시 노암동 684-22,421504460301,강원도 강릉시 노암길10번길,3,12.0,4215012100106840022005163,,강원도 강릉시 노암길10번길 3-12,210932,25593.0,,,,128.898249332586,37.7456477066661
104267,17242832,서오기업,,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,R91139,그외 기타 스포츠시설 운영업,42,강원도,42790,화천군,4279025000,화천읍,4279025022.0,화천읍,4279025022200390014,1,대지,39,14.0,강원도 화천군 화천읍 하리 39-14,427904493105,강원도 화천군 화천읍 중앙로2길,31,4.0,4279025022000390014002537,"태생파크,사우나,한의원",강원도 화천군 화천읍 중앙로2길 31-4,209804,24129.0,,1,,127.704184982131,38.1034848704217
104281,17246341,티파니스크린,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42110,춘천시,4211031000,동면,4211031022.0,동면,4211031022207630002,1,대지,763,2.0,강원도 춘천시 동면 만천리 763-2,421103218038,강원도 춘천시 동면 춘천순환로,515,,4211031022107630002059583,,강원도 춘천시 동면 춘천순환로 515,200852,24214.0,,4,,127.761492513062,37.8857057164246
104633,17357828,더잭슨나인스피트니스,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42110,춘천시,4211057000,근화동,4211011700.0,근화동,4211011700202650001,1,대지,265,1.0,강원도 춘천시 근화동 265-1,421103218033,강원도 춘천시 중앙로,193,,4211011700102650001000001,더잭슨나인스호텔,강원도 춘천시 중앙로 193,200931,24360.0,,2,,127.714108493705,37.8737516737999
106239,24641994,성일헬스클럽,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42730,횡성군,4273025000,횡성읍,4273025022.0,횡성읍,4273025022204160002,1,대지,416,2.0,강원도 횡성군 횡성읍 읍하리 416-2,427303219067,강원도 횡성군 횡성읍 횡성로,385,,4273025022104160002017586,,강원도 횡성군 횡성읍 횡성로 385,225808,25234.0,,,,127.984810202981,37.4874525025217
106317,24885131,길골프스크린연습장,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100202000026,1,대지,200,26.0,강원도 태백시 황지동 200-26,421903222006,강원도 태백시 번영로,144,,4219010100102000027000001,,강원도 태백시 번영로 144,235800,26038.0,지,3,,128.987060861113,37.1564273293399
106514,21697110,청학무에타이,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213054100,명륜1동,4213010600.0,명륜동,4213010600200260000,1,대지,26,,강원도 원주시 명륜동 26,421303219054,강원도 원주시 치악로,1803,,4213010600100260000004051,남부시장,강원도 원주시 치악로 1803,220040,26441.0,,,,127.954388531672,37.3431152044904
