,상세도로망_링크ID,노선번호,링크 길이,도로명,시도명,시군구명,시간적 범위,평일주말,당일최대정체길이
101,2310051300,5,,중부내륙고속도로,강원도,,전일,평일,0
102,2141011801,4,,서해안고속도로,강원도,,전일,평일,0
103,2334347001,4,,서해안고속도로,강원도,,전일,평일,14
104,2310050300,3,,중부고속도로,강원도,,전일,평일,5
105,2310051300,3,,중부고속도로,강원도,,전일,평일,8
106,2580024603,2,,영동고속도로,강원도,,전일,평일,11
107,2580139700,2,,영동고속도로,강원도,,전일,평일,3
108,3550732701,1,,경부고속도로,강원도,,전일,평일,12
109,2450132601,1,,경부고속도로,강원도,,전일,평일,6
110,2310800200,5,,중부내륙고속도로,강원도,,전일,주말,0
111,2790014800,5,,중부내륙고속도로,강원도,,전일,주말,4
112,2334347201,4,,서해안고속도로,강원도,,전일,주말,7
113,2334347801,4,,서해안고속도로,강원도,,전일,주말,4
114,2310800200,3,,중부고속도로,강원도,,전일,주말,2
115,2790014800,3,,중부고속도로,강원도,,전일,주말,0
116,2580547000,2,,영동고속도로,강원도,,전일,주말,0
117,2600015521,2,,영동고속도로,강원도,,전일,주말,16
118,3530477501,1,,경부고속도로,강원도,,전일,주말,9
119,2450132901,1,,경부고속도로,강원도,,전일,주말,11
120,2790015200,5,,중부내륙고속도로,강원도,,전일,주말,0
121,2340005200,5,,중부내륙고속도로,강원도,,전일,주말,1
122,2240932501,4,,서해안고속도로,강원도,,전일,주말,0
123,2334327201,4,,서해안고속도로,강원도,,전일,주말,6
124,2790015200,3,,중부고속도로,강원도,,전일,주말,1
125,2340005200,3,,중부고속도로,강원도,,전일,주말,12
126,2600015631,2,,영동고속도로,강원도,,전일,주말,34
127,2600016400,2,,영동고속도로,강원도,,전일,주말,0
128,3530477601,1,,경부고속도로,강원도,,전일,주말,13
129,2450132701,1,,경부고속도로,강원도,,전일,주말,4
130,2340006500,5,,중부내륙고속도로,강원도,,전일,평일,0
131,2340007721,5,,중부내륙고속도로,강원도,,전일,평일,0
132,2334316901,4,,서해안고속도로,강원도,,전일,평일,12
133,2334315401,4,,서해안고속도로,강원도,,전일,평일,3
134,2340006500,3,,중부고속도로,강원도,,전일,평일,1
135,2340007721,3,,중부고속도로,강원도,,전일,평일,2
136,2600017400,2,,영동고속도로,강원도,,전일,평일,2
137,2600022800,2,,영동고속도로,강원도,,전일,평일,7
138,3550732701,1,,경부고속도로,강원도,,전일,평일,11
139,2450132601,1,,경부고속도로,강원도,,전일,평일,4
140,2340033600,5,,중부내륙고속도로,강원도,,전일,평일,1
141,2340034600,5,,중부내륙고속도로,강원도,,전일,평일,0
142,2870006300,4,,서해안고속도로,강원도,,전일,평일,0
143,2870006100,4,,서해안고속도로,강원도,,전일,평일,3
144,2340033600,3,,중부고속도로,강원도,,전일,평일,1
145,2340034600,3,,중부고속도로,강원도,,전일,평일,2
146,2600023200,2,,영동고속도로,강원도,,전일,평일,10
147,2600024001,2,,영동고속도로,강원도,,전일,평일,0
148,3530477501,1,,경부고속도로,강원도,,전일,평일,11
149,2450132901,1,,경부고속도로,강원도,,전일,평일,1
150,2340215800,5,,중부내륙고속도로,강원도,,전일,평일,0
151,2340606500,5,,중부내륙고속도로,강원도,,전일,평일,0
152,2870007200,4,,서해안고속도로,강원도,,전일,평일,0
153,2870017500,4,,서해안고속도로,강원도,,전일,평일,7
154,2340215800,3,,중부고속도로,강원도,,전일,평일,1
155,2340606500,3,,중부고속도로,강원도,,전일,평일,1
156,2600029700,2,,영동고속도로,강원도,,전일,평일,12
157,2600030100,2,,영동고속도로,강원도,,전일,평일,0
158,3530477601,1,,경부고속도로,강원도,,전일,평일,4
159,2450132701,1,,경부고속도로,강원도,,전일,평일,1
160,2340607300,5,,중부내륙고속도로,강원도,,전일,평일,0
161,2710002501,5,,중부내륙고속도로,강원도,,전일,평일,0
162,2870019321,4,,서해안고속도로,강원도,,전일,평일,0
163,2870019342,4,,서해안고속도로,강원도,,전일,평일,9
164,2340607300,3,,중부고속도로,강원도,,전일,평일,1
165,2710002501,3,,중부고속도로,강원도,,전일,평일,1
166,2600031201,2,,영동고속도로,강원도,,전일,평일,8
167,2600034200,2,,영동고속도로,강원도,,전일,평일,0
168,3550732701,1,,경부고속도로,강원도,,전일,평일,10
169,2450132601,1,,경부고속도로,강원도,,전일,평일,1
170,2710018100,5,,중부내륙고속도로,강원도,,전일,평일,0
171,2710018500,5,,중부내륙고속도로,강원도,,전일,평일,0
172,2870019421,4,,서해안고속도로,강원도,,전일,평일,0
173,2870019442,4,,서해안고속도로,강원도,,전일,평일,18
174,2710018100,3,,중부고속도로,강원도,,전일,평일,10
175,2710018500,3,,중부고속도로,강원도,,전일,평일,7
176,2600034801,2,,영동고속도로,강원도,,전일,평일,18
177,2600036601,2,,영동고속도로,강원도,,전일,평일,3
178,3530477501,1,,경부고속도로,강원도,,전일,평일,12
179,2450132901,1,,경부고속도로,강원도,,전일,평일,5
180,2710582400,5,,중부내륙고속도로,강원도,,전일,주말,0
181,2790616400,5,,중부내륙고속도로,강원도,,전일,주말,0
182,2870031800,4,,서해안고속도로,강원도,,전일,주말,2
183,2870032200,4,,서해안고속도로,강원도,,전일,주말,2
184,2710582400,3,,중부고속도로,강원도,,전일,주말,1
185,2790616400,3,,중부고속도로,강원도,,전일,주말,0
186,2600039400,2,,영동고속도로,강원도,,전일,주말,2
187,2600041702,2,,영동고속도로,강원도,,전일,주말,21
188,3530477601,1,,경부고속도로,강원도,,전일,주말,11
189,2450132701,1,,경부고속도로,강원도,,전일,주말,11
190,2810023602,5,,중부내륙고속도로,강원도,,전일,주말,0
191,2810024600,5,,중부내륙고속도로,강원도,,전일,주말,5
192,2870218100,4,,서해안고속도로,강원도,,전일,주말,0
193,2890005300,4,,서해안고속도로,강원도,,전일,주말,9
194,2810023602,3,,중부고속도로,강원도,,전일,주말,1
195,2810024600,3,,중부고속도로,강원도,,전일,주말,3
196,2600567400,2,,영동고속도로,강원도,,전일,주말,31
197,2600567800,2,,영동고속도로,강원도,,전일,주말,0
198,3550732701,1,,경부고속도로,강원도,,전일,주말,5
199,2450132601,1,,경부고속도로,강원도,,전일,주말,3
200,2810030921,5,,중부내륙고속도로,강원도,,전일,평일,0
201,2810049800,5,,중부내륙고속도로,강원도,,전일,평일,0
202,2890006100,4,,서해안고속도로,강원도,,전일,평일,4
203,2890006701,4,,서해안고속도로,강원도,,전일,평일,5
204,2810030921,3,,중부고속도로,강원도,,전일,평일,1
205,2810049800,3,,중부고속도로,강원도,,전일,평일,5
206,2600573200,2,,영동고속도로,강원도,,전일,평일,0
207,2600929600,2,,영동고속도로,강원도,,전일,평일,6
208,3530477501,1,,경부고속도로,강원도,,전일,평일,9
209,2450132901,1,,경부고속도로,강원도,,전일,평일,3
210,2810460000,5,,중부내륙고속도로,강원도,,전일,평일,1
211,2810460400,5,,중부내륙고속도로,강원도,,전일,평일,0
212,2890020100,4,,서해안고속도로,강원도,,전일,평일,0
213,2890019700,4,,서해안고속도로,강원도,,전일,평일,6
214,2810460000,3,,중부고속도로,강원도,,전일,평일,1
215,2810460400,3,,중부고속도로,강원도,,전일,평일,1
216,2770003400,2,,영동고속도로,강원도,,전일,평일,11
217,2770003800,2,,영동고속도로,강원도,,전일,평일,0
218,3530477601,1,,경부고속도로,강원도,,전일,평일,8
219,2450132701,1,,경부고속도로,강원도,,전일,평일,1
220,2810744200,5,,중부내륙고속도로,강원도,,전일,평일,0
221,2810747600,5,,중부내륙고속도로,강원도,,전일,평일,0
222,2890022100,4,,서해안고속도로,강원도,,전일,평일,2
223,2890279200,4,,서해안고속도로,강원도,,전일,평일,9
224,2810744200,3,,중부고속도로,강원도,,전일,평일,1
225,2810747600,3,,중부고속도로,강원도,,전일,평일,1
226,2770005402,2,,영동고속도로,강원도,,전일,평일,9
227,2770007902,2,,영동고속도로,강원도,,전일,평일,0
228,3550732701,1,,경부고속도로,강원도,,전일,평일,8
229,2450132601,1,,경부고속도로,강원도,,전일,평일,1
230,2840156700,5,,중부내륙고속도로,강원도,,전일,평일,0
231,2840197900,5,,중부내륙고속도로,강원도,,전일,평일,0
232,2890279800,4,,서해안고속도로,강원도,,전일,평일,0
233,2240109700,4,,서해안고속도로,강원도,,전일,평일,0
234,2840156700,3,,중부고속도로,강원도,,전일,평일,0
235,2840197900,3,,중부고속도로,강원도,,전일,평일,0
236,2770008200,2,,영동고속도로,강원도,,전일,평일,1
237,2770009200,2,,영동고속도로,강원도,,전일,평일,1
238,3530477501,1,,경부고속도로,강원도,,전일,평일,0
239,2450132901,1,,경부고속도로,강원도,,전일,평일,0
240,2840200700,5,,중부내륙고속도로,강원도,,전일,평일,0
241,2840243100,5,,중부내륙고속도로,강원도,,전일,평일,0
